Link,Name,Rank
duke-university,Duke University,1
massachusetts-institute-of-technology,Massachusetts Institute of Technology,2
university-of-pennsylvania,University of Pennsylvania,3
yale-university,Yale University,4
harvard-university,Harvard University,5
harvey-mudd-college,Harvey Mudd College,6
stanford-university,Stanford University,7
university-of-chicago,University of Chicago,8
dartmouth-college,Dartmouth College,9
northwestern-university,Northwestern University,10
brown-university,Brown University,11
cornell-university,Cornell University,12
university-of-notre-dame,University of Notre Dame,13
williams-college,Williams College,14
rice-university,Rice University,15
johns-hopkins-university,Johns Hopkins University,16
pomona-college,Pomona College,17
vanderbilt-university,Vanderbilt University,18
washington-university-in-st-louis,Washington University in St Louis,19
princeton-university,Princeton University,20
hamilton-college,Hamilton College,21
claremont-mckenna-college,Claremont McKenna College,22
washington-and-lee-university,Washington and Lee University,23
college-of-the-holy-cross,College of the Holy Cross,24
bowdoin-college,Bowdoin College,25
columbia-university-in-the-city-of-new-york,Columbia University in the City of New York,26
emory-university,Emory University,27
carnegie-mellon-university,Carnegie Mellon University,28
amherst-college,Amherst College,29
olin-college,Olin College,30
california-institute-of-technology,California Institute of Technology,31
bucknell-university,Bucknell University,32
university-of-virginia-main-campus,University of Virginia - Main Campus,33
colgate-university,Colgate University,34
university-of-michigan-ann-arbor,University of Michigan - Ann Arbor,35
babson-college,Babson College,36
wake-forest-university,Wake Forest University,37
swarthmore-college,Swarthmore College,38
davidson-college,Davidson College,39
university-of-southern-california,University of Southern California,40
middlebury-college,Middlebury College,41
georgetown-university,Georgetown University,42
lehigh-university,Lehigh University,43
wellesley-college,Wellesley College,44
university-of-rochester,University of Rochester,45
worcester-polytechnic-institute,Worcester Polytechnic Institute,46
carleton-college,Carleton College,47
lafayette-college,Lafayette College,48
university-of-california-los-angeles,University of California - Los Angeles,49
university-of-north-carolina-at-chapel-hill,University of North Carolina at Chapel Hill,50
case-western-reserve-university,Case Western Reserve University,51
tufts-university,Tufts University,52
rose-hulman-institute-of-technology,Rose - Hulman Institute of Technology,53
wesleyan-university,Wesleyan University,54
union-college-new-york,Union College New York,55
boston-university,Boston University,56
rensselaer-polytechnic-institute,Rensselaer Polytechnic Institute,57
boston-college,Boston College,58
bentley-university,Bentley University,59
university-of-richmond,University of Richmond,60
college-of-william-and-mary,College of William and Mary,61
st-louis-college-of-pharmacy,St Louis College of Pharmacy,62
franklin-and-marshall-college,Franklin and Marshall College,63
bates-college,Bates College,64
university-of-california-berkeley,University of California - Berkeley,65
university-of-miami,University of Miami,66
haverford-college,Haverford College,67
brandeis-university,Brandeis University,68
georgia-institute-of-technology-main-campus,Georgia Institute of Technology - Main Campus,69
vassar-college,Vassar College,70
villanova-university,Villanova University,71
university-of-california-san-diego,University of California - San Diego,72
university-of-florida,University of Florida,73
university-of-california-davis,University of California - Davis,74
santa-clara-university,Santa Clara University,75
scripps-college,Scripps College,76
northeastern-university,Northeastern University,77
the-university-of-texas-at-austin,The University of Texas at Austin,78
virginia-polytechnic-institute-and-state-university,Virginia Tech,79
university-of-wisconsin-madison,University of Wisconsin - Madison,80
university-of-california-irvine,University of California - Irvine,81
depauw-university,DePauw University,82
colby-college,Colby College,83
university-of-washington-seattle-campus,University of Washington - Seattle Campus,84
university-of-illinois-at-urbana-champaign,University of Illinois at Urbana - Champaign,85
colorado-school-of-mines,Colorado School of Mines,86
southern-methodist-university,Southern Methodist University,87
dickinson-college,Dickinson College,88
texas-a-and-m-university-college-station,Texas A&M University - College Station,89
trinity-college,Trinity College,90
gettysburg-college,Gettysburg College,91
university-of-delaware,University of Delaware,92
kenyon-college,Kenyon College,93
tulane-university-of-louisiana,Tulane University of Louisiana,94
bryn-mawr-college,Bryn Mawr College,95
creighton-university,Creighton University,96
university-of-connecticut,University of Connecticut,97
skidmore-college,Skidmore College,98
grinnell-college,Grinnell College,99
purdue-university-main-campus,Purdue University - Main Campus,100
st-lawrence-university,St Lawrence University,101
brigham-young-university-provo,Brigham Young University - Provo,102
university-of-maryland-college-park,University of Maryland - College Park,103
barnard-college,Barnard College,104
george-washington-university,George Washington University,105
elon-university,Elon University,106
syracuse-university,Syracuse University,107
clemson-university,Clemson University,108
saint-louis-university-main-campus,Saint Louis University,109
albany-college-of-pharmacy-and-health-sciences,Albany College of Pharmacy and Health Sciences,110
united-states-merchant-marine-academy,United States Merchant Marine Academy,111
hobart-william-smith-colleges,Hobart and William Smith Colleges,112
gonzaga-university,Gonzaga University,113
whitman-college,Whitman College,114
texas-christian-university,Texas Christian University,115
wheaton-college-illinois,Wheaton College Illinois,116
illinois-institute-of-technology,Illinois Institute of Technology,117
trinity-university,Trinity University,118
rhodes-college,Rhodes College,119
michigan-state-university,Michigan State University,120
north-carolina-state-university-at-raleigh,North Carolina State University,121
pepperdine-university,Pepperdine University,122
denison-university,Denison University,123
university-of-pittsburgh-pittsburgh-campus,University of Pittsburgh - Pittsburgh Campus,124
university-of-california-santa-barbara,University of California - Santa Barbara,125
st-olaf-college,St Olaf College,126
occidental-college,Occidental College,127
illinois-wesleyan-university,Illinois Wesleyan University,128
new-york-university,New York University,129
butler-university,Butler University,130
providence-college,Providence College,131
university-of-minnesota-twin-cities,University of Minnesota - Twin Cities,132
suny-at-binghamton,Binghamton University,133
drake-university,Drake University,134
clarkson-university,Clarkson University,135
connecticut-college,Connecticut College,136
university-of-georgia,University of Georgia,137
macalester-college,Macalester College,138
colorado-college,Colorado College,139
university-of-san-diego,University of San Diego,140
loyola-marymount-university,Loyola Marymount University,141
saint-anselm-college,Saint Anselm College,142
furman-university,Furman University,143
smith-college,Smith College,144
university-of-denver,University of Denver,145
kalamazoo-college,Kalamazoo College,146
fairfield-university,Fairfield University,147
university-of-the-pacific,University of the Pacific,148
wofford-college,Wofford College,149
mount-holyoke-college,Mount Holyoke College,150
rutgers-university-new-brunswick,Rutgers University - New Brunswick,151
california-polytechnic-state-university-san-luis-obispo,California Polytechnic State University - San Luis Obispo,152
gustavus-adolphus-college,Gustavus Adolphus College,153
rhode-island-school-of-design,Rhode Island School of Design,154
university-at-buffalo,University at Buffalo,155
university-of-the-sciences,University of the Sciences,156
university-of-puget-sound,University of Puget Sound,157
ohio-northern-university,Ohio Northern University,158
the-college-of-new-jersey,The College of New Jersey,159
marquette-university,Marquette University,160
american-university,American University,161
duquesne-university,Duquesne University,162
muhlenberg-college,Muhlenberg College,163
university-of-dayton,University of Dayton,164
rochester-institute-of-technology,Rochester Institute of Technology,165
university-of-iowa,University of Iowa,166
university-of-massachusetts-amherst,University of Massachusetts Amherst,167
yeshiva-university,Yeshiva University,168
loyola-university-baltimore,Loyola University Maryland,169
pennsylvania-state-university-main-campus,Pennsylvania State University - University Park,170
drexel-university,Drexel University,171
baylor-university,Baylor University,172
university-of-st-thomas-minnesota,University of St Thomas Minnesota,173
seattle-university,Seattle University,174
university-of-portland,University of Portland,175
samford-university,Samford University,176
university-of-scranton,University of Scranton,177
massachusetts-college-of-pharmacy-and-health-sciences,Massachusetts College of Pharmacy and Health Sciences,178
stevens-institute-of-technology,Stevens Institute of Technology,179
university-of-utah,University of Utah,180
indiana-university-bloomington,Indiana University - Bloomington,181
college-of-saint-benedict,College of Saint Benedict,182
saint-johns-university,Saint Johns University,183
centre-college,Centre College,184
virginia-military-institute,Virginia Military Institute,185
james-madison-university,James Madison University,186
reed-college,Reed College,187
pitzer-college,Pitzer College,188
bryant-university,Bryant University,189
stonehill-college,Stonehill College,190
university-of-san-francisco,University of San Francisco,191
university-of-tulsa,University of Tulsa,192
southwestern-university,Southwestern University,193
quinnipiac-university,Quinnipiac University,194
auburn-university,Auburn University,195
saint-josephs-university,Saint Joseph's University,196
michigan-technological-university,Michigan Technological University,197
stony-brook-university,Stony Brook University,198
elizabethtown-college,Elizabethtown College,199
bradley-university,Bradley University,200
sewanee-the-university-of-the-south,Sewanee - The University of the South,201
saint-marys-college,Saint Mary's College,202
wabash-college,Wabash College,203
university-of-south-carolina-columbia,University of South Carolina - Columbia,204
washington-and-jefferson-college,Washington & Jefferson College,205
ohio-state-university-main-campus,Ohio State University - Main Campus,206
chapman-university,Chapman University,207
university-of-new-hampshire-main-campus,University of New Hampshire - Main Campus,208
missouri-university-of-science-and-technology,Missouri University of Science and Technology,209
oberlin-college,Oberlin College,210
university-of-oklahoma-norman-campus,University of Oklahoma Norman Campus,211
marist-college,Marist College,212
ithaca-college,Ithaca College,213
university-of-california-riverside,University of California - Riverside,214
loyola-university-chicago,Loyola University Chicago,215
university-of-vermont,University of Vermont,216
willamette-university,Willamette University,217
siena-college,Siena College,218
allegheny-college,Allegheny College,219
florida-state-university,Florida State University,220
clark-university,Clark University,221
juniata-college,Juniata College,222
wheaton-college-massachusetts,Wheaton College Massachusetts,223
massachusetts-maritime-academy,Massachusetts Maritime Academy,224
fordham-university,Fordham University,225
kettering-university,Kettering University,226
ursinus-college,Ursinus College,227
milwaukee-school-of-engineering,Milwaukee School of Engineering,228
hope-college,Hope College,229
george-mason-university,George Mason University,230
luther-college,Luther College,231
washington-college,Washington College,232
catholic-university-of-america,Catholic University of America,233
citadel-military-college-of-south-carolina,Citadel Military College of South Carolina,234
iowa-state-university,Iowa State University,235
the-university-of-tennessee,The University of Tennessee - Knoxville,236
new-jersey-institute-of-technology,New Jersey Institute of Technology,237
soka-university-of-america,Soka University of America,238
the-university-of-texas-at-dallas,The University of Texas at Dallas,239
lawrence-university,Lawrence University,240
hampden-sydney-college,Hampden - Sydney College,241
molloy-college,Molloy College,242
augustana-college-illinois,Augustana College,243
university-of-redlands,University of Redlands,244
university-of-colorado-boulder,University of Colorado Boulder,245
saint-marys-college-of-california,Saint Mary's College of California,246
maine-maritime-academy,Maine Maritime Academy,247
linfield-college,Linfield College - McMinnville Campus,248
saint-john-fisher-college,St. John Fisher College,249
bellin-college,Bellin College,250
beloit-college,Beloit College,251
rutgers-university-newark,Rutgers University - Newark,252
messiah-college,Messiah College,253
cooper-union-for-the-advancement-of-science-and-art,Cooper Union for the Advancement of Science and Art,254
university-of-kansas,University of Kansas,255
rollins-college,Rollins College,256
simmons-college,Simmons College,257
louisiana-state-university-and-agricultural-and-mechanical-college,Louisiana State University and Agricultural & Mechanical College,258
university-of-california-santa-cruz,University of California - Santa Cruz,259
depaul-university,DePaul University,260
st-marys-college-of-maryland,St Mary's College of Maryland,261
university-of-oregon,University of Oregon,262
temple-university,Temple University,263
university-of-missouri-columbia,University of Missouri - Columbia,264
university-of-illinois-at-chicago,University of Illinois at Chicago,265
westmont-college,Westmont College,266
suny-at-geneseo,SUNY Geneseo,267
lewis-and-clark-college,Lewis & Clark College,268
john-carroll-university,John Carroll University,269
suny-college-of-environmental-science-and-forestry,SUNY College of Environmental Science and Forestry,270
miami-university-oxford,Miami University - Oxford,271
the-college-of-wooster,The College of Wooster,272
calvin-college,Calvin College,273
manhattan-college,Manhattan College,274
dominican-university-of-california,Dominican University of California,275
university-of-nebraska-lincoln,University of Nebraska - Lincoln,276
embry-riddle-aeronautical-university-daytona-beach,Embry Riddle Aeronautical University - Daytona Beach,277
susquehanna-university,Susquehanna University,278
lake-forest-college,Lake Forest College,279
adelphi-university,Adelphi University,280
le-moyne-college,Le Moyne College,281
southern-california-institute-of-architecture,Southern California Institute of Architecture,282
bryan-college-of-health-sciences,Bryan College of Health Sciences,283
hofstra-university,Hofstra University,284
saint-norbert-college,Saint Norbert College,285
university-of-kentucky,University of Kentucky,286
seton-hall-university,Seton Hall University,287
embry-riddle-aeronautical-university-prescott,Embry Riddle Aeronautical University - Prescott,288
university-of-detroit-mercy,University of Detroit Mercy,289
washington-state-university,Washington State University,290
saint-michaels-college,Saint Michael's College,291
presbyterian-college,Presbyterian College,292
american-university-of-health-sciences,American University of Health Sciences,293
xavier-university,Xavier University,294
emerson-college,Emerson College,295
rutgers-university-camden,Rutgers University - Camden,296
thomas-aquinas-college,Thomas Aquinas College,297
concordia-college-at-moorhead,Concordia College at Moorhead,298
oregon-state-university,Oregon State University,299
california-maritime-academy,California State University Maritime Academy,300
university-of-south-florida-main-campus,University of South Florida - Main Campus,301
university-of-maryland-baltimore-county,University of Maryland - Baltimore County,302
mercer-university,Mercer University,303
assumption-college,Assumption College,304
illinois-state-university,Illinois State University,305
cuny-bernard-m-baruch-college,CUNY Bernard M Baruch College,306
colorado-state-university-fort-collins,Colorado State University - Fort Collins,307
valparaiso-university,Valparaiso University,308
university-of-st-thomas-texas,University of St. Thomas,309
suny-at-albany,University at Albany,310
spelman-college,Spelman College,311
arizona-state-university,Arizona State University - Tempe,312
lebanon-valley-college,Lebanon Valley College,313
university-of-evansville,University of Evansville,314
baptist-memorial-college-of-health-sciences,Baptist Memorial College of Health Sciences,315
bethel-university-minnesota,Bethel University Minnesota,316
pacific-lutheran-university,Pacific Lutheran University,317
the-university-of-alabama,The University of Alabama,318
university-of-massachusetts-lowell,University of Massachusetts - Lowell,319
point-loma-nazarene-university,Point Loma Nazarene University,320
california-lutheran-university,California Lutheran University,321
ramapo-college-of-new-jersey,Ramapo College of New Jersey,322
chamberlain-college-of-nursing-texas,Chamberlain University - Texas,323
suny-maritime-college,SUNY Maritime College,324
university-of-arizona,University of Arizona,325
university-of-dallas,University of Dallas,326
augustana-college-south-dakota,Augustana University,327
roger-williams-university,Roger Williams University,328
university-of-washington-bothell-campus,University of Washington - Bothell Campus,329
union-university,Union University,330
hanover-college,Hanover College,331
university-of-houston,University of Houston,332
westminster-college-utah,Westminster College Utah,333
christopher-newport-university,Christopher Newport University,334
gannon-university,Gannon University,335
mills-college,Mills College,336
university-of-north-dakota,University of North Dakota,337
transylvania-university,Transylvania University,338
university-of-wyoming,University of Wyoming,339
bard-college,Bard College,340
roanoke-college,Roanoke College,341
st-johns-college-maryland,St John's College,342
san-diego-state-university,San Diego State University,343
western-new-england-university,Western New England University,344
truman-state-university,Truman State University,345
biola-university,Biola University,346
seattle-pacific-university,Seattle Pacific University,347
nebraska-methodist-college-of-nursing-and-allied-health,Nebraska Methodist College of Nursing & Allied Health,348
regis-university,Regis University,349
misericordia-university,Misericordia University,350
clarkson-college,Clarkson College,351
knox-college,Knox College,352
kansas-state-university,Kansas State University,353
belmont-university,Belmont University,354
coe-college,Coe College,355
whitworth-university,Whitworth University,356
john-brown-university,John Brown University,357
wentworth-institute-of-technology,Wentworth Institute of Technology,358
south-dakota-school-of-mines-and-technology,South Dakota School of Mines and Technology,359
trinity-college-of-nursing-and-health-sciences,Trinity College of Nursing & Health Sciences,360
the-juilliard-school,The Juilliard School,361
cedarville-university,Cedarville University,362
covenant-college,Covenant College,363
salve-regina-university,Salve Regina University,364
university-of-colorado-denver,University of Colorado Denver/Anschutz Medical Campus,365
sacred-heart-university,Sacred Heart University,366
rockhurst-university,Rockhurst University,367
saint-vincent-college,Saint Vincent College,368
millsaps-college,Millsaps College,369
north-dakota-state-university-main-campus,North Dakota State University - Main Campus,370
university-of-central-florida,University of Central Florida,371
university-of-california-merced,University of California - Merced,372
west-chester-university-of-pennsylvania,West Chester University of Pennsylvania,373
western-washington-university,Western Washington University,374
cornell-college,Cornell College,375
carroll-college,Carroll College,376
ohio-wesleyan-university,Ohio Wesleyan University,377
university-of-mississippi-main-campus,University of Mississippi,378
university-of-cincinnati-main-campus,University of Cincinnati - Main Campus,379
suny-institute-of-technology-at-utica-rome,SUNY Polytechnic Institute,380
university-of-northern-iowa,University of Northern Iowa,381
nova-southeastern-university,Nova Southeastern University,382
university-of-wisconsin-la-crosse,University of Wisconsin - La Crosse,383
saint-francis-university,Saint Francis University,384
art-center-college-of-design,Art Center College of Design,385
hendrix-college,Hendrix College,386
randolph-macon-college,Randolph - Macon College,387
drew-university,Drew University,388
howard-university,Howard University,389
george-fox-university,George Fox University,390
the-college-of-saint-scholastica,The College of Saint Scholastica,391
university-of-rhode-island,University of Rhode Island,392
university-of-arkansas,University of Arkansas,393
agnes-scott-college,Agnes Scott College,394
salisbury-university,Salisbury University,395
university-of-mary-washington,University of Mary Washington,396
moravian-college-and-moravian-theological-seminary,Moravian College,397
st-johns-university-new-york,St John's University - New York,398
university-of-north-carolina-school-of-the-arts,University of North Carolina School of the Arts,399
pennsylvania-state-university-penn-state-erie-behrend-college,Pennsylvania State University - Erie - Behrend College,400
ringling-college-of-art-and-design,Ringling College of Art and Design,401
virginia-commonwealth-university,Virginia Commonwealth University,402
arizona-state-university-west,Arizona State University - West,403
rowan-university,Rowan University,404
digipen-institute-of-technology,DigiPen Institute of Technology,405
texas-tech-university,Texas Tech University,406
north-central-college,North Central College,407
florida-institute-of-technology,Florida Institute of Technology,408
shenandoah-university,Shenandoah University,409
university-of-minnesota-rochester,University of Minnesota - Rochester,410
austin-college,Austin College,411
saint-edwards-university,Saint Edward's University,412
central-college,Central College,413
taylor-university,Taylor University,414
eckerd-college,Eckerd College,415
university-of-north-carolina-at-wilmington,University of North Carolina at Wilmington,416
pacific-university,Pacific University,417
mount-carmel-college-of-nursing,Mount Carmel College of Nursing,418
canisius-college,Canisius College,419
oklahoma-state-university-main-campus,Oklahoma State University - Main Campus,420
franciscan-university-of-steubenville,Franciscan University of Steubenville,421
whittier-college,Whittier College,422
university-of-nevada-reno,University of Nevada - Reno,423
stetson-university,Stetson University,424
oklahoma-city-university,Oklahoma City University,425
rider-university,Rider University,426
lewis-university,Lewis University,427
azusa-pacific-university,Azusa Pacific University,428
suffolk-university,Suffolk University,429
merrimack-college,Merrimack College,430
college-of-charleston,College of Charleston,431
university-of-michigan-dearborn,University of Michigan - Dearborn,432
albion-college,Albion College,433
university-of-alabama-at-birmingham,University of Alabama at Birmingham,434
university-of-washington-tacoma-campus,University of Washington - Tacoma Campus,435
university-of-hawaii-at-manoa,University of Hawaii at Manoa,436
goucher-college,Goucher College,437
wagner-college,Wagner College,438
hamline-university,Hamline University,439
nazareth-college,Nazareth College,440
fashion-institute-of-technology,Fashion Institute of Technology,441
simpson-college,Simpson College,442
walla-walla-university,Walla Walla University,443
appalachian-state-university,Appalachian State University,444
desales-university,DeSales University,445
maryville-university-of-saint-louis,Maryville University of Saint Louis,446
the-new-england-conservatory-of-music,The New England Conservatory of Music,447
university-of-wisconsin-eau-claire,University of Wisconsin - Eau Claire,448
endicott-college,Endicott College,449
state-university-of-new-york-at-new-paltz,SUNY New Paltz,450
california-state-polytechnic-university-pomona,California State Polytechnic University - Pomona,451
kettering-college,Kettering College,452
ripon-college,Ripon College,453
saint-bonaventure-university,St. Bonaventure University,454
saint-joseph-college,University of Saint Joseph,455
baldwin-wallace-college,Baldwin Wallace University,456
suny-college-at-oneonta,SUNY Oneonta,457
university-of-minnesota-duluth,University of Minnesota - Duluth,458
st-catherine-university,St Catherine University,459
philadelphia-university,Thomas Jefferson University,460
new-mexico-institute-of-mining-and-technology,New Mexico Institute of Mining and Technology,461
sarah-lawrence-college,Sarah Lawrence College,462
wilkes-university,Wilkes University,463
robert-morris-university,Robert Morris University,464
lipscomb-university,Lipscomb University,465
harding-university,Harding University,466
new-york-institute-of-technology,New York Institute of Technology,467
westminster-college-pa,Westminster College Pennsylvania,468
monmouth-university,Monmouth University,469
springfield-college,Springfield College,470
pratt-institute-main,Pratt Institute - Main,471
marietta-college,Marietta College,472
arizona-state-university-downtown-phoenix,Arizona State University - Downtown Phoenix,473
good-samaritan-college-of-nursing-and-health-science,Good Samaritan College of Nursing & Health Science,474
bellarmine-university,Bellarmine University,475
california-state-university-long-beach,California State University - Long Beach,476
milligan-college,Milligan College,477
berry-college,Berry College,478
towson-university,Towson University,479
mercy-college-of-ohio,Mercy College of Ohio,480
the-university-of-findlay,The University of Findlay,481
kings-college,King's College,482
pennsylvania-state-university-penn-state-harrisburg,Pennsylvania State University - Harrisburg,483
suny-college-at-cortland,SUNY Cortland,484
university-of-louisville,University of Louisville,485
university-of-hartford,University of Hartford,486
st-marys-university,St. Mary's University,487
lancaster-general-college-of-nursing-and-health-sciences,Pennsylvania College of Health Sciences,488
california-institute-of-the-arts,California Institute of the Arts,489
pennsylvania-state-university-penn-state-altoona,Pennsylvania State University - Altoona,490
university-of-houston-clear-lake,University of Houston - Clear Lake,491
san-jose-state-university,San Jose State University,492
university-of-new-haven,University of New Haven,493
lawrence-technological-university,Lawrence Technological University,494
la-salle-university,La Salle University,495
saint-ambrose-university,Saint Ambrose University,496
florida-international-university,Florida International University,497
neumont-university,Neumont College of Computer Science,498
university-of-la-verne,University of La Verne,499
pace-university-new-york,Pace University - New York,500
california-state-university-chico,California State University - Chico,501
gordon-college,Gordon College,502
loyola-university-new-orleans,Loyola University New Orleans,503
indiana-wesleyan-university,Indiana Wesleyan University,504
alma-college,Alma College,505
william-jewell-college,William Jewell College,506
the-richard-stockton-college-of-new-jersey,Stockton University,507
university-of-new-england,University of New England,508
widener-university-main-campus,Widener University,509
the-new-school,The New School,510
lycoming-college,Lycoming College,511
the-university-of-tampa,The University of Tampa,512
birmingham-southern-college,Birmingham Southern College,513
abilene-christian-university,Abilene Christian University,514
east-carolina-university,East Carolina University,515
west-coast-university-los-angeles,West Coast University - Los Angeles,516
earlham-college,Earlham College,517
pennsylvania-state-university-penn-state-hazleton,Pennsylvania State University - Hazleton,518
university-of-missouri-kansas-city,University of Missouri - Kansas City,519
emmanuel-college-massachusetts,Emmanuel College Massachusetts,520
mount-st-marys-university,Mount St Mary's University,521
grand-valley-state-university,Grand Valley State University,522
university-of-massachusetts-boston,University of Massachusetts - Boston,523
roberts-wesleyan-college,Roberts Wesleyan College,524
letourneau-university,LeTourneau University,525
university-of-north-carolina-at-charlotte,University of North Carolina at Charlotte,526
cabarrus-college-of-health-sciences,Cabarrus College of Health Sciences,527
dordt-college,Dordt College,528
pennsylvania-state-university-penn-state-wilkes-barre,Pennsylvania State University - Wilkes - Barre,529
otterbein-university,Otterbein University,530
university-of-st-francis,University of St Francis,531
houghton-college,Houghton College,532
chatham-university,Chatham University,533
mount-st-marys-college,Mount Saint Mary's University,534
arizona-state-university-polytechnic,Arizona State University - Polytechnic,535
university-of-illinois-at-springfield,University of Illinois at Springfield,536
st-johns-college-new-mexico,St. John's College,537
dyouville-college,D'Youville College,538
wartburg-college,Wartburg College,539
university-of-south-florida-sarasota-manatee,University of South Florida Sarasota - Manatee,540
bennington-college,Bennington College,541
georgia-college-and-state-university,Georgia College & State University,542
nebraska-wesleyan-university,Nebraska Wesleyan University,543
chamberlain-college-of-nursing-virginia,Chamberlain University - Virginia,544
goshen-college,Goshen College,545
dominican-university,Dominican University,546
winona-state-university,Winona State University,547
university-of-new-hampshire-at-manchester,University of New Hampshire at Manchester,548
trinity-christian-college,Trinity Christian College,549
west-coast-university-orange-county,West Coast University - Orange County,550
iona-college,Iona College,551
culinary-institute-of-america,Culinary Institute of America,552
augsburg-college,Augsburg University,553
university-of-idaho,University of Idaho,554
oregon-institute-of-technology,Oregon Institute of Technology,555
methodist-college,Methodist College,556
university-of-alabama-at-huntsville,University of Alabama in Huntsville,557
sweet-briar-college,Sweet Briar College,558
maryland-institute-college-of-art,Maryland Institute College of Art,559
new-york-school-of-interior-design,New York School of Interior Design,560
west-virginia-university,West Virginia University,561
edgewood-college,Edgewood College,562
university-of-minnesota-morris,University of Minnesota - Morris,563
champlain-college,Champlain College,564
pennsylvania-state-university-penn-state-dubois,Pennsylvania State University - Dubois,565
doane-college-crete,Doane University,566
mcdaniel-college,McDaniel College,567
south-dakota-state-university,South Dakota State University,568
suny-college-at-oswego,SUNY Oswego,569
york-college-pennsylvania,York College of Pennsylvania,570
high-point-university,High Point University,571
waynesburg-university,Waynesburg University,572
niagara-university,Niagara University,573
elmhurst-college,Elmhurst College,574
suny-college-at-plattsburgh,SUNY Plattsburgh,575
longwood-university,Longwood University,576
dallas-baptist-university,Dallas Baptist University,577
ball-state-university,Ball State University,578
slippery-rock-university-of-pennsylvania,Slippery Rock University of Pennsylvania,579
fairleigh-dickinson-university-college-at-florham,Fairleigh Dickinson University - Florham Campus,580
illinois-college,Illinois College,581
andrews-university,Andrews University,582
lynchburg-college,University of Lynchburg,583
wisconsin-lutheran-college,Wisconsin Lutheran College,584
clarke-university,Clarke University,585
university-of-north-florida,University of North Florida,586
montclair-state-university,Montclair State University,587
florida-southern-college,Florida Southern College,588
pennsylvania-state-university-penn-state-york,Pennsylvania State University - York,589
cleveland-institute-of-music,Cleveland Institute of Music,590
college-for-creative-studies,College for Creative Studies,591
xavier-university-of-louisiana,Xavier University of Louisiana,592
college-of-the-atlantic,College of the Atlantic,593
massachusetts-college-of-art-and-design,Massachusetts College of Art and Design,594
jacksonville-university,Jacksonville University,595
hampshire-college,Hampshire College,596
savannah-college-of-art-and-design,Savannah College of Art and Design,597
ohio-university-main-campus,Ohio University - Main Campus,598
eastern-mennonite-university,Eastern Mennonite University,599
