Link,Name,Rank
cuny-college-of-staten-island,College of Staten Island CUNY,1150
ohio-dominican-university,Ohio Dominican University,1151
university-of-charleston,University of Charleston,1152
weber-state-university,Weber State University,1153
maranatha-baptist-bible-college,Maranatha Baptist University,1154
university-of-maine-at-farmington,University of Maine at Farmington,1155
liberty-university,Liberty University,1156
concordia-university-texas,Concordia University - Texas,1157
philadelphia-biblical-university-langhorne,Cairn University,1158
nicholls-state-university,Nicholls State University,1159
university-of-houston-downtown,University of Houston - Downtown,1160
midway-college,Midway University,1161
erskine-college-and-seminary,Erskine College,1162
fisk-university,Fisk University,1163
saint-mary-of-the-woods-college,Saint Mary - of - the - Woods College,1164
southwestern-college,Southwestern College,1165
columbia-college-south-carolina,Columbia College,1166
texas-a-and-m-university-commerce,Texas A&M University - Commerce,1167
st-vincents-college,St Vincent's College,1168
catawba-college,Catawba College,1169
humboldt-state-university,Humboldt State University,1170
texas-a-and-m-university-corpus-christi,Texas A&M University - Corpus Christi,1171
northwest-christian-university,Northwest Christian University,1172
university-of-north-georgia,University of North Georgia,1173
university-of-north-texas-at-dallas,University of North Texas at Dallas,1174
lim-college,LIM College,1175
georgian-court-university,Georgian Court University,1176
keiser-university-ft-lauderdale,Keiser University - Ft Lauderdale,1177
barton-college,Barton College,1178
eastern-kentucky-university,Eastern Kentucky University,1179
purdue-university-northwest,Purdue University Northwest,1180
claflin-university,Claflin University,1181
briar-cliff-university,Briar Cliff University,1182
greenville-college,Greenville University,1183
western-kentucky-university,Western Kentucky University,1184
mcpherson-college,McPherson College,1185
northern-state-university,Northern State University,1186
thiel-college,Thiel College,1187
bethel-college-north-newton,Bethel College - North Newton,1188
southwestern-oklahoma-state-university,Southwestern Oklahoma State University,1189
university-of-southern-indiana,University of Southern Indiana,1190
texas-a-and-m-university-texarkana,Texas A&M University - Texarkana,1191
southern-wesleyan-university,Southern Wesleyan University,1192
southeastern-louisiana-university,Southeastern Louisiana University,1193
alice-lloyd-college,Alice Lloyd College,1194
university-of-hawaii-west-oahu,University of Hawaii - West Oahu,1195
lamar-university,Lamar University,1196
chadron-state-college,Chadron State College,1197
university-of-arkansas-at-little-rock,University of Arkansas at Little Rock,1198
mary-baldwin-college,Mary Baldwin University,1199
hobe-sound-bible-college,Hobe Sound Bible College,1200
suny-college-of-technology-at-delhi,SUNY Delhi,1201
bethany-college-west-virginia,Bethany College West Virginia,1202
warner-pacific-college,Warner Pacific College,1203
silver-lake-college,Silver Lake College of the Holy Family,1204
rockford-college,Rockford University,1205
bowie-state-university,Bowie State University,1206
university-of-central-oklahoma,University of Central Oklahoma,1207
university-of-wisconsin-superior,University of Wisconsin - Superior,1208
wheelock-college,Boston University Wheelock College of Education and Human Development,1209
cogswell-polytechnical-college,Cogswell College,1210
paul-smiths-college-of-arts-and-science,Paul Smiths College of Arts and Science,1211
alverno-college,Alverno College,1212
shepherd-university,Shepherd University,1213
peirce-college,Peirce College,1214
dakota-wesleyan-university,Dakota Wesleyan University,1215
grand-canyon-university,Grand Canyon University,1216
university-of-houston-victoria,University of Houston - Victoria,1217
utah-valley-university,Utah Valley University,1218
boston-architectural-college,Boston Architectural College,1219
mcmurry-university,McMurry University,1220
oakland-city-university,Oakland City University,1221
mcneese-state-university,McNeese State University,1222
prescott-college,Prescott College,1223
university-of-south-carolina-aiken,University of South Carolina - Aiken,1224
maharishi-university-of-management,Maharishi University of Management,1225
ottawa-university-ottawa,Ottawa University - Ottawa,1226
eureka-college,Eureka College,1227
ozark-christian-college,Ozark Christian College,1228
wilson-college,Wilson College,1229
university-of-the-ozarks,University of the Ozarks,1230
goldey-beacom-college,Goldey - Beacom College,1231
bellevue-university,Bellevue University,1232
university-of-bridgeport,University of Bridgeport,1233
carson-newman-college,Carson - Newman University,1234
watkins-college-of-art-design-and-film,Watkins College of Art Design & Film,1235
nyack-college,Nyack College,1236
southern-california-institute-of-technology,Southern California Institute of Technology,1237
brookline-college-albuquerque,Brookline College - Albuquerque,1238
our-lady-of-the-lake-university-san-antonio,Our Lady of the Lake University,1239
eastern-nazarene-college,Eastern Nazarene College,1240
southern-virginia-university,Southern Virginia University,1241
lancaster-bible-college,Lancaster Bible College,1242
university-of-west-georgia,University of West Georgia,1243
cox-college,Cox College,1244
methodist-university,Methodist University,1245
milwaukee-institute-of-art-and-design,Milwaukee Institute of Art & Design,1246
charleston-southern-university,Charleston Southern University,1247
midland-university,Midland University,1248
fort-lewis-college,Fort Lewis College,1249
cumberland-university,Cumberland University,1250
kings-university,The King's University,1251
armstrong-atlantic-state-university,Armstrong State University,1252
montserrat-college-of-art,Montserrat College of Art,1253
angelo-state-university,Angelo State University,1254
young-harris-college,Young Harris College,1255
southern-oregon-university,Southern Oregon University,1256
herzing-university-winter-park,Herzing University - Winter Park,1257
indiana-state-university,Indiana State University,1258
north-central-university,North Central University,1259
eastern-oregon-university,Eastern Oregon University,1260
appalachian-bible-college,Appalachian Bible College,1261
tabor-college,Tabor College,1262
valdosta-state-university,Valdosta State University,1263
hope-international-university,Hope International University,1264
american-international-college,American International College,1265
youngstown-state-university,Youngstown State University,1266
williams-baptist-college,Williams Baptist College,1267
azusa-pacific-university-college,Azusa Pacific University College,1268
nevada-state-college,Nevada State College,1269
northwestern-state-university-of-louisiana,Northwestern State University of Louisiana,1270
mount-aloysius-college,Mount Aloysius College,1271
columbia-college-chicago,Columbia College Chicago,1272
colorado-christian-university,Colorado Christian University,1273
alderson-broaddus-college,Alderson Broaddus University,1274
morgan-state-university,Morgan State University,1275
delta-state-university,Delta State University,1276
university-of-alaska-southeast,University of Alaska Southeast,1277
everglades-university,Everglades University,1278
cuny-york-college,CUNY York College,1279
mississippi-university-for-women,Mississippi University for Women,1280
herzing-university-minneapolis,Herzing University - Minneapolis,1281
university-of-maryland-eastern-shore,University of Maryland Eastern Shore,1282
midwestern-baptist-theological-seminary,Midwestern Baptist Theological Seminary,1283
austin-peay-state-university,Austin Peay State University,1284
free-will-baptist-bible-college,Welch College,1285
delaware-state-university,Delaware State University,1286
trine-university-fort-wayne-regional-campus,Trine University - Regional/Non - Traditional Campuses,1287
suny-college-of-agriculture-and-technology-at-cobleskill,SUNY Cobleskill,1288
lake-erie-college,Lake Erie College,1289
blue-mountain-college,Blue Mountain College,1290
concordia-university-ann-arbor,Concordia University - Ann Arbor,1291
maria-college-of-albany,Maria College of Albany,1292
mount-olive-college,University of Mount Olive,1293
university-of-great-falls,University of Providence,1294
tennessee-wesleyan-college,Tennessee Wesleyan University,1295
belhaven-university,Belhaven University,1296
carlos-albizu-university-miami,Carlos Albizu University - Miami,1297
quincy-university,Quincy University,1298
fayetteville-state-university,Fayetteville State University,1299
norfolk-state-university,Norfolk State University,1300
morehead-state-university,Morehead State University,1301
the-university-of-montana-western,The University of Montana - Western,1302
prairie-view-a-and-m-university,Prairie View A & M University,1303
huntingdon-college,Huntingdon College,1304
jacksonville-state-university,Jacksonville State University,1305
louisiana-state-university-shreveport,Louisiana State University - Shreveport,1306
trident-university-international,Trident University International,1307
anna-maria-college,Anna Maria College,1308
howard-payne-university,Howard Payne University,1309
georgia-southwestern-state-university,Georgia Southwestern State University,1310
elizabeth-city-state-university,Elizabeth City State University,1311
strayer-university-north-carolina,Strayer University - North Carolina,1312
southern-new-hampshire-university,Southern New Hampshire University,1313
university-of-mobile,University of Mobile,1314
northeastern-state-university,Northeastern State University,1315
calvary-bible-college-and-theological-seminary,Calvary University,1316
university-of-dubuque,University of Dubuque,1317
shorter-university,Shorter University,1318
coker-college,Coker College,1319
maine-college-of-art,Maine College of Art,1320
northeastern-illinois-university,Northeastern Illinois University,1321
mercy-college,Mercy College,1322
university-of-north-carolina-at-pembroke,University of North Carolina at Pembroke,1323
san-francisco-art-institute,San Francisco Art Institute,1324
colorado-state-university-pueblo,Colorado State University - Pueblo,1325
virginia-state-university,Virginia State University,1326
southwest-baptist-university,Southwest Baptist University,1327
lourdes-college,Lourdes University,1328
kansas-wesleyan-university,Kansas Wesleyan University,1329
macmurray-college,MacMurray College,1330
suny-college-of-technology-at-canton,SUNY Canton,1331
wayland-baptist-university,Wayland Baptist University,1332
montana-state-university-northern,Montana State University - Northern,1333
mayville-state-university,Mayville State University,1334
columbus-state-university,Columbus State University,1335
capella-university,Capella University,1336
belmont-abbey-college,Belmont Abbey College,1337
baptist-bible-college-and-seminary-of-pennsylvania,Clarks Summit University,1338
northpoint-bible-college,Northpoint Bible College,1339
henderson-state-university,Henderson State University,1340
gods-bible-school-and-college,Gods Bible School and College,1341
university-of-northwestern-ohio,University of Northwestern Ohio,1342
rosemont-college,Rosemont College,1343
troy-university,Troy University,1344
cuny-new-york-city-college-of-technology,CUNY New York City College of Technology,1345
south-university-tampa,South University - Tampa,1346
limestone-college,Limestone College,1347
columbia-southern-university,Columbia Southern University,1348
newberry-college,Newberry College,1349
blackburn-college,Blackburn College,1350
indiana-university-purdue-university-fort-wayne,Indiana University - Purdue University - Fort Wayne,1351
rasmussen-college-minnesota,Rasmussen College - Minnesota,1352
heritage-university,Heritage University,1353
olivet-college,Olivet College,1354
brescia-university,Brescia University,1355
lincoln-university-of-pennsylvania,Lincoln University,1356
west-liberty-university,West Liberty University,1357
clayton-state-university,Clayton State University,1358
culver-stockton-college,Culver - Stockton College,1359
thomas-university,Thomas University,1360
defiance-college,Defiance College,1361
university-of-wisconsin-parkside,University of Wisconsin - Parkside,1362
the-baptist-college-of-florida,The Baptist College of Florida,1363
mesa-state-college,Colorado Mesa University,1364
crown-college,Crown College,1365
university-of-west-alabama,University of West Alabama,1366
black-hills-state-university,Black Hills State University,1367
musicians-institute,Musicians Institute,1368
university-of-south-carolina-beaufort,University of South Carolina - Beaufort,1369
sierra-nevada-college,Sierra Nevada College,1370
indiana-university-southeast,Indiana University - Southeast,1371
davis-and-elkins-college,Davis & Elkins College,1372
east-texas-baptist-university,East Texas Baptist University,1373
suny-empire-state-college,SUNY Empire State College,1374
franklin-university,Franklin University,1375
iowa-wesleyan-college,Iowa Wesleyan University,1376
the-college-of-westchester,The College of Westchester,1377
dillard-university,Dillard University,1378
columbia-college-hollywood,Columbia College Hollywood,1379
davenport-university,Davenport University,1380
lander-university,Lander University,1381
santa-barbara-business-college-ventura,Santa Barbara Business College - Ventura,1382
ohio-university-zanesville-campus,Ohio University - Zanesville Campus,1383
monroe-college-main-campus,Monroe College,1384
san-diego-christian-college,San Diego Christian College,1385
humphreys-college-stockton-and-modesto-campuses,Humphreys University - Stockton and Modesto Campuses,1386
life-university,Life University,1387
florida-national-university-main-campus,Florida National University - Main Campus,1388
new-hampshire-institute-of-art,New Hampshire Institute of Art,1389
auburn-university-at-montgomery,Auburn University at Montgomery,1390
park-university,Park University,1391
upper-iowa-university,Upper Iowa University,1392
strayer-university-maryland,Strayer University - Maryland,1393
indiana-university-kokomo,Indiana University - Kokomo,1394
wilmington-university,Wilmington University,1395
indiana-university-south-bend,Indiana University - South Bend,1396
mount-ida-college,UMass Amherst Mount Ida Campus,1397
arkansas-tech-university,Arkansas Tech University,1398
kent-state-university-at-east-liverpool,Kent State University at East Liverpool,1399
toccoa-falls-college,Toccoa Falls College,1400
chicago-state-university,Chicago State University,1401
york-college-nebraska,York College,1402
south-college,South College,1403
presentation-college,Presentation College,1404
pima-medical-institute-tucson,Pima Medical Institute - Tucson,1405
university-of-advancing-technology,University of Advancing Technology,1406
holy-cross-college,Holy Cross College,1407
clark-atlanta-university,Clark Atlanta University,1408
peru-state-college,Peru State College,1409
columbia-college-missouri,Columbia College,1410
missouri-western-state-university,Missouri Western State University,1411
montana-state-university-billings,Montana State University - Billings,1412
medaille-college,Medaille College,1413
strayer-university-tennessee,Strayer University - Tennessee,1414
kent-state-university-at-salem,Kent State University at Salem,1415
mt-sierra-college,Mt Sierra College,1416
east-central-university,East Central University,1417
university-of-science-and-arts-of-oklahoma,University of Science and Arts of Oklahoma,1418
texas-southern-university,Texas Southern University,1419
naropa-university,Naropa University,1420
hannibal-lagrange-college,Hannibal - LaGrange University,1421
lyndon-state-college,Lyndon State College,1422
tougaloo-college,Tougaloo College,1423
grace-university,Grace University,1424
southwestern-assemblies-of-god-university,Southwestern Assemblies of God University,1425
cambridge-college,Cambridge College,1426
oakwood-university,Oakwood University,1427
multnomah-university,Multnomah University,1428
living-arts-college,Living Arts College,1429
mid-america-christian-university,Mid - America Christian University,1430
southeastern-oklahoma-state-university,Southeastern Oklahoma State University,1431
pacific-northwest-college-of-art,Pacific Northwest College of Art,1432
metropolitan-state-college-of-denver,Metropolitan State University of Denver,1433
montreat-college,Montreat College,1434
davis-college,Davis College,1435
south-university-novi,South University - Novi,1436
southern-arkansas-university-main-campus,Southern Arkansas University Main Campus,1437
tennessee-state-university,Tennessee State University,1438
devry-university-florida,DeVry University - Florida,1439
keystone-college,Keystone College,1440
southeastern-university,Southeastern University,1441
university-of-antelope-valley,University of Antelope Valley,1442
central-pennsylvania-college,Central Penn College,1443
bethany-college-kansas,Bethany College Kansas,1444
adams-state-college,Adams State University,1445
shawnee-state-university,Shawnee State University,1446
missouri-southern-state-university,Missouri Southern State University,1447
reinhardt-university,Reinhardt University,1448
rochester-college,Rochester College,1449
tiffin-university,Tiffin University,1450
fairmont-state-university,Fairmont State University,1451
devry-university-new-jersey,DeVry University - New Jersey,1452
haskell-indian-nations-university,Haskell Indian Nations University,1453
indiana-university-east,Indiana University - East,1454
strayer-university-global-region,Strayer University - Global Region,1455
johnson-state-college,Johnson State College,1456
lewis-clark-state-college,Lewis - Clark State College,1457
strayer-university-florida,Strayer University - Florida,1458
sterling-college-kansas,Sterling College,1459
ecpi-university,ECPI University,1460
kaplan-university-cedar-rapids-campus,Kaplan University - Cedar Rapids Campus,1461
university-of-maryland-university-college,University of Maryland - University College,1462
university-of-the-district-of-columbia,University of the District of Columbia,1463
notre-dame-college,Notre Dame College,1464
brookline-college-tucson,Brookline College - Tucson,1465
university-of-maine-at-fort-kent,University of Maine at Fort Kent,1466
devry-university-virginia,DeVry University - Virginia,1467
pennsylvania-college-of-art-and-design,Pennsylvania College of Art and Design,1468
indiana-institute-of-technology,Indiana Institute of Technology,1469
memphis-college-of-art,Memphis College of Art,1470
georgia-gwinnett-college,Georgia Gwinnett College,1471
university-of-arkansas-fort-smith,University of Arkansas - Fort Smith,1472
amridge-university,Amridge University,1473
northwestern-oklahoma-state-university,Northwestern Oklahoma State University,1474
kentucky-wesleyan-college,Kentucky Wesleyan College,1475
marymount-college,Marymount California University,1476
sum-bible-college-and-theological-seminary,SUM Bible College and Theological Seminary,1477
jackson-state-university,Jackson State University,1478
life-pacific-college,Life Pacific College,1479
morrisville-state-college,Morrisville State College,1480
barclay-college,Barclay College,1481
pikeville-college,University of Pikeville,1482
colorado-mountain-college,Colorado Mountain College,1483
ferrum-college,Ferrum College,1484
devry-university-arizona,DeVry University - Arizona,1485
thomas-college,Thomas College,1486
johnson-c-smith-university,Johnson C Smith University,1487
coppin-state-university,Coppin State University,1488
alcorn-state-university,Alcorn State University,1489
university-of-the-cumberlands,University of the Cumberlands,1490
mitchell-college,Mitchell College,1491
devry-university-ohio,DeVry University - Ohio,1492
eagle-gate-college-murray,Eagle Gate College - Murray,1493
nossi-college-of-art,Nossi College of Art,1494
tusculum-college,Tusculum College,1495
william-penn-university,William Penn University,1496
cheyney-university-of-pennsylvania,Cheyney University of Pennsylvania,1497
indiana-university-northwest,Indiana University - Northwest,1498
trinity-washington-university,Trinity Washington University,1499
bluefield-college,Bluefield College,1500
nazarene-bible-college,Nazarene Bible College,1501
southern-university-and-a-and-m-college,Southern University and A & M College,1502
judson-college,Judson College,1503
bloomfield-college,Bloomfield College,1504
central-baptist-college,Central Baptist College,1505
strayer-university-south-carolina,Strayer University - South Carolina,1506
strayer-university-georgia,Strayer University - Georgia,1507
lees-mcrae-college,Lees - McRae College,1508
daymar-institute-clarksville,Daymar College - Clarksville,1509
calumet-college-of-saint-joseph,Calumet College of Saint Joseph,1510
college-america-colorado-springs,CollegeAmerica - Colorado Springs,1511
full-sail-university,Full Sail University,1512
south-carolina-state-university,South Carolina State University,1513
kaplan-university-omaha-campus,Kaplan University - Omaha Campus,1514
herzing-university-birmingham,Herzing University - Birmingham,1515
cincinnati-christian-university,Cincinnati Christian University,1516
kendall-college,Kendall College,1517
remington-college-heathrow-campus,Remington College - Heathrow Campus,1518
daymar-institute-nashville,Daymar College - Nashville,1519
finlandia-university,Finlandia University,1520
luther-rice-university-and-seminary,Luther Rice College & Seminary,1521
devry-university-georgia,DeVry University - Georgia,1522
valley-forge-christian-college,University of Valley Forge,1523
berkeley-college-woodland-park,Berkeley College - Woodland Park,1524
middle-georgia-state-university,Middle Georgia State University,1525
california-college-san-diego,California College San Diego,1526
missouri-baptist-university,Missouri Baptist University,1527
peace-college,William Peace University,1528
arizona-christian-university,Arizona Christian University,1529
bethel-university-tennessee,Bethel University,1530
daymar-institute-murfreesboro,Daymar College - Murfreesboro,1531
devry-university-texas,DeVry University - Texas,1532
devry-university-illinois,DeVry University - Illinois,1533
fort-valley-state-university,Fort Valley State University,1534
western-international-university,Western International University,1535
metropolitan-college-of-new-york,Metropolitan College of New York,1536
cuny-medgar-evers-college,CUNY Medgar Evers College,1537
sul-ross-state-university,Sul Ross State University,1538
berkeley-college-new-york,Berkeley College - New York,1539
eastern-new-mexico-university-main-campus,Eastern New Mexico University - Main Campus,1540
faulkner-university,Faulkner University,1541
university-of-arkansas-at-pine-bluff,University of Arkansas at Pine Bluff,1542
albany-state-university,Albany State University,1543
kentucky-state-university,Kentucky State University,1544
emmanuel-college-georgia,Emmanuel College Georgia,1545
south-university-west-palm-beach,South University - West Palm Beach,1546
strayer-university-alabama,Strayer University - Alabama,1547
manhattan-christian-college,Manhattan Christian College,1548
bennett-college-for-women,Bennett College,1549
south-universityrichmond,South University - Richmond,1550
florida-memorial-university,Florida Memorial University,1551
ohio-valley-university,Ohio Valley University,1552
robert-morris-university-illinois,Robert Morris University Illinois,1553
martin-methodist-college,Martin Methodist College,1554
grambling-state-university,Grambling State University,1555
rocky-mountain-college-of-art-and-design,Rocky Mountain College of Art and Design,1556
concorde-career-colleges,Concorde Career Colleges,1557
dixie-state-college-of-utah,Dixie State University,1558
devry-university-california,DeVry University - California,1559
strayer-university-texas,Strayer University - Texas,1560
grace-bible-college,Grace Bible College,1561
louisiana-state-university-alexandria,Louisiana State University - Alexandria,1562
lindsey-wilson-college,Lindsey Wilson College,1563
charter-college-anchorage,Charter College,1564
abraham-baldwin-agricultural-college,Abraham Baldwin Agricultural College,1565
campbellsville-university,Campbellsville University,1566
university-of-maine-at-machias,University of Maine at Machias,1567
new-england-college,New England College,1568
the-college-of-new-rochelle,The College of New Rochelle,1569
mars-hill-college,Mars Hill University,1570
voorhees-college,Voorhees College,1571
harrisburg-university-of-science-and-technology,Harrisburg University of Science and Technology,1572
cameron-university,Cameron University,1573
wesley-college,Wesley College,1574
bethune-cookman-university,Bethune - Cookman University,1575
hodges-university,Hodges University,1576
morris-college,Morris College,1577
dean-college,Dean College,1578
herzing-university-kenosha,Herzing University - Kenosha,1579
truett-mcconnell-college,Truett McConnell University,1580
warner-university,Warner University,1581
st-andrews-presbyterian-college,St. Andrews University,1582
north-carolina-wesleyan-college,North Carolina Wesleyan College,1583
rogers-state-university,Rogers State University,1584
bluefield-state-college,Bluefield State College,1585
alabama-a-and-m-university,Alabama A & M University,1586
concord-university,Concord University,1587
talladega-college,Talladega College,1588
brevard-college,Brevard College,1589
strayer-university-pennsylvania,Strayer University - Pennsylvania,1590
marygrove-college,Marygrove College,1591
villa-maria-college,Villa Maria College,1592
university-of-arkansas-at-monticello,University of Arkansas at Monticello,1593
kentucky-christian-university,Kentucky Christian University,1594
university-of-the-virgin-islands,University of the Virgin Islands,1595
rust-college,Rust College,1596
colorado-technical-university-colorado-springs,Colorado Technical University - Colorado Springs,1597
somerset-christian-college,Pillar College,1598
greensboro-college,Greensboro College,1599
dallas-christian-college,Dallas Christian College,1600
western-new-mexico-university,Western New Mexico University,1601
devry-college-of-new-york,DeVry College of New York,1602
west-virginia-state-university,West Virginia State University,1603
boricua-college,Boricua College,1604
strayer-university-district-of-columbia,Strayer University - District of Columbia,1605
waldorf-college,Waldorf University,1606
webber-international-university,Webber International University,1607
central-christian-college-of-the-bible,Central Christian College of the Bible,1608
dalton-state-college,Dalton State College,1609
mississippi-valley-state-university,Mississippi Valley State University,1610
south-university-columbia,South University - Columbia,1611
lincoln-college,Lincoln College,1612
college-of-biblical-studies-houston,College of Biblical Studies - Houston,1613
university-of-rio-grande,University of Rio Grande,1614
strayer-university-virginia,Strayer University - Virginia,1615
kaplan-university-des-moines-campus,Kaplan University - Des Moines Campus,1616
alabama-state-university,Alabama State University,1617
glenville-state-college,Glenville State College,1618
south-university-savannah,South University - Savannah,1619
savannah-state-university,Savannah State University,1620
brookline-college-phoenix,Brookline College - Phoenix,1621
university-of-phoenix-colorado,University of Phoenix - Colorado,1622
united-tribes-technical-college,United Tribes Technical College,1623
pine-manor-college,Pine Manor College,1624
american-intercontinental-university-houston,American InterContinental University - Houston,1625
oklahoma-panhandle-state-university,Oklahoma Panhandle State University,1626
college-of-coastal-georgia,College of Coastal Georgia,1627
new-mexico-highlands-university,New Mexico Highlands University,1628
fisher-college,Fisher College,1629
bay-state-college,Bay State College,1630
paine-college,Paine College,1631
chowan-university,Chowan University,1632
university-of-the-southwest,University of the Southwest,1633
south-universityvirginia-beach,South University - Virginia Beach,1634
stratford-university,Stratford University,1635
herzing-university-madison,Herzing University - Madison,1636
atlanta-christian-college,Point University,1637
allen-university,Allen University,1638
baptist-bible-college,Baptist Bible College,1639
union-college-kentucky,Union College Kentucky,1640
university-of-phoenix-california,University of Phoenix - California,1641
stevens-henager-college-ogden,Stevens - Henager College,1642
crowleys-ridge-college,Crowley's Ridge College,1643
university-of-phoenix-arizona,University of Phoenix - Arizona,1644
saint-augustines-college,Saint Augustine's University,1645
south-university-montgomery,South University - Montgomery,1646
the-art-institute-of-houston,The Art Institute of Houston,1647
benedict-college,Benedict College,1648
institute-of-american-indian-and-alaska-native-culture,Institute of American Indian and Alaska Native Culture and Arts Development,1649
eagle-gate-college-layton,Eagle Gate College - Layton,1650
midstate-college,Midstate College,1651
urbana-university,Urbana University,1652
post-university,Post University,1653
national-american-university-sioux-falls,National American University - Sioux Falls,1654
ohio-christian-university,Ohio Christian University,1655
south-university-the-art-institute-of-dallas,South University - The Art Institute of Dallas,1656
huston-tillotson-university,Huston - Tillotson University,1657
missouri-valley-college,Missouri Valley College,1658
lincoln-university-missouri,Lincoln University,1659
five-towns-college,Five Towns College,1660
wilberforce-university,Wilberforce University,1661
langston-university,Langston University,1662
piedmont-international-university,Piedmont International University,1663
herzing-university-toledo,Herzing University - Toledo,1664
everest-university-orange-park,Altierus Career College - Orange Park,1665
central-state-university,Central State University,1666
ai-miami-international-university-of-art-and-design,AI Miami International University of Art and Design,1667
northern-new-mexico-college,Northern New Mexico College,1668
everest-university-tampa,Altierus Career College - Tampa,1669
virginia-union-university,Virginia Union University,1670
remington-college-honolulu-campus,Remington College - Honolulu Campus,1671
southern-university-at-new-orleans,Southern University at New Orleans,1672
rasmussen-college-florida,Rasmussen College - Florida,1673
kaplan-university-lincoln-campus,Kaplan University - Lincoln Campus,1674
granite-state-college,Granite State College,1675
virginia-university-of-lynchburg,Virginia University of Lynchburg,1676
gordon-state-college,Gordon State College,1677
kaplan-university-davenport-campus,Kaplan University - Davenport Campus,1678
akron-institute-of-herzing-university,Herzing University - Akron,1679
trinity-baptist-college,Trinity Baptist College,1680
national-american-university-overland-park,National American University - Overland Park,1681
herzing-university-kenner,Herzing University - Kenner,1682
miles-college,Miles College,1683
livingstone-college,Livingstone College,1684
central-christian-college-of-kansas,Central Christian College of Kansas,1685
brewton-parker-college,Brewton - Parker College,1686
kaplan-university-hagerstown-campus,Kaplan University - Hagerstown Campus,1687
american-intercontinental-university-atlanta,American InterContinental University - Atlanta,1688
lane-college,Lane College,1689
hillsdale-free-will-baptist-college,Randall University,1690
donnelly-college,Donnelly College,1691
philander-smith-college,Philander Smith College,1692
the-art-institute-of-austin,The Art Institute of Austin,1693
national-american-university-austin,National American University - Austin,1694
university-of-maine-at-augusta,University of Maine at Augusta,1695
herzing-university-atlanta,Herzing University - Atlanta,1696
stillman-college,Stillman College,1697
the-art-institute-of-virginia-beach,The Art Institute of Virginia Beach,1698
the-art-institute-of-san-antonio,The Art Institute of San Antonio,1699
collegeamerica-phoenix,CollegeAmerica - Phoenix,1700
martin-university,Martin University,1701
shaw-university,Shaw University,1702
kaplan-university-maine-campus,Kaplan University - Maine Campus,1703
southwestern-christian-university,Southwestern Christian University,1704
american-intercontinental-university-online,American InterContinental University - Online,1705
baker-college-of-flint,Baker College,1706
harrison-college-indianapolis,Harrison College - Indianapolis,1707
wiley-college,Wiley College,1708
independence-university,Independence University,1709
edward-waters-college,Edward Waters College,1710
jarvis-christian-college,Jarvis Christian College,1711
the-art-institute-of-las-vegas,The Art Institute of Las Vegas,1712
stevens-henager-college-boise,Stevens - Henager College,1713
le-moyne-owen-college,Le Moyne - Owen College,1714
salem-international-university,Salem International University,1715
bacone-college,Bacone College,1716
texas-college,Texas College,1717
the-art-institute-of-atlanta,The Art Institute of Atlanta,1718
paul-quinn-college,Paul Quinn College,1719
harris-stowe-state-university,Harris - Stowe State University,1720
